evidence_id,canonical_record_id,title,authors,year,doi,url,journal_or_venue,retrieval_sources,classification,selected,score,priority,reason_category,screening_reason,why_not_selected,potential_contribution,recommended_action,possible_false_negative,publication_verified,publication_status,document_type,publication_verification_status,required_groups_matched,hard_required_groups,hard_required_in_contribution,missing_hard_required_groups,complementary_groups_matched,methodological_family,required_coverage,required_cooccurrence,direct_relation,operational_evidence,semantic_similarity,exclusion_terms,quota_decision,signals,abstract
A45,R1E8A9F4BC0E8,Smart Vision Systems with Edge AI: Semiconductor-Based Architectures for Real-Time Facial Recognition and Object Detection,Rohit Chandrakant Kulkarni,2026,10.63282/3050-922x.ijeret-v7i1p134,https://doi.org/10.63282/3050-922x.ijeret-v7i1p134,International Journal of Emerging Research in Engineering and Technology,openaire,pertinente_no_seleccionada,False,116.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.092486,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.092; operational, empirical or validation evidence; publication_aware_selection","Smart vision systems have become central to modern digital infrastructure, supporting applications such as intelligent surveillance, autonomous mobility, industrial inspection, and smart retail analytics. Many existing computer vision systems rely on cloud-based processing, where image data is transmitted to remote servers for model inference. While this approach enables large-scale computation, it introduces latency, bandwidth dependency, and concerns related to privacy and data governance. Recent developments in Edge AI provide an alternative paradigm in which inference is performed directly on local devices using optimized neural networks and specialized hardware accelerators. This study examines the role of semiconductor-based architectures in enabling real-time facial recognition and object detection within edge-deployed vision systems. The paper presents a conceptual framework that integrates image sensors, embedded processors, and dedicated AI accelerators designed to support efficient deep learning inference at the device level. The proposed architecture emphasizes parallel processing, optimized memory pipelines, and lightweight model deployment to support low-latency visual analytics. Performance considerations such as inference latency, throughput, energy consumption, and detection accuracy are examined through a comparative evaluation of different deployment platforms, including cloud GPU systems, edge CPUs, and semiconductor-assisted edge accelerators. The analysis indicates that semiconductor-assisted edge architectures substantially reduce inference latency while improving computational efficiency compared with conventional cloud-based pipelines. In addition to performance gains, localized inference reduces the need to transmit sensitive visual data to external infrastructure, which strengthens privacy protection and improves system reliability in environments with limited connectivity. The findings highlight the growing importance of semiconductor-enabled Edge AI as a foundation for scalable and responsive smart vision systems across multiple sectors."
A47,RD13BD31866E8,"TinyML in Industrial IoT: A Systematic Review of Applications, System Components, and Methodologies",Shahad Alharthi; Muhammad Rashid; Malak Aljabri,2026,10.3390/s26082550,https://doi.org/10.3390/s26082550,Sensors,openaire,pertinente_no_seleccionada,False,116.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.081081,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.081; operational, empirical or validation evidence; publication_aware_selection","Tiny Machine Learning (TinyML) enables Machine Learning (ML) models to run on resource-constrained devices, which is critical for Industrial Internet of Things (IIoT) systems requiring low latency, energy efficiency, and local decision-making. Nevertheless, deploying TinyML in IIoT remains challenging due to diverse applications, hardware, frameworks, and deployment methodologies, highlighting the need for a structured and focused review. Existing review articles mainly address general IoT or edge AI, leaving a critical gap in a unified and systematic understanding of TinyML applications, system components, and methodologies within IIoT contexts. Consequently, this systematic literature review (SLR) addresses this gap by analyzing 35 peer-reviewed studies published between 2018 and 2026, offering a comprehensive and structured synthesis of TinyML-enabled IIoT systems. The selected works are synthesized across three major dimensions: applications, system components, and methodologies. In terms of applications, TinyML is primarily used for predictive maintenance, equipment monitoring, anomaly detection, energy management, and general-purpose applications. The general category captures cross-domain solutions that do not fit into a single industrial application. A comparative analysis of all application categories is conducted in terms of accuracy, latency, memory, and energy. For system components, a structured comparison shows how hardware, software, and sensing choices shape performance and applicability. Hardware platforms are grouped by microcontroller families, highlighting dominant types. Software frameworks are summarized, showing the widespread use of lightweight toolchains for on-device inference. Sensor types are categorized, with vibration sensing most common. They are supported by other sensing methods such as vision, sound (acoustic), and environmental sensors. Finally, the methodologies examined in this SLR provide a comprehensive view of the data foundations, model selection, and optimization strategies. In short, this SLR converges diverse TinyML–IIoT applications, microcontroller-based hardware, lightweight software frameworks, sensing modalities, varied datasets, and optimization strategies, while also identifying challenges and future research directions."
A48,R636ACC04A233,KEYWORD SPOTTING SYSTEM WITH NANO 33 BLE SENSE USING EMBEDDED MACHINE LEARNING APPROACH,Nurul Atikah Abbas; Mohd Ridzuan Ahmad,2023,10.11113/jurnalteknologi.v85.18744,https://doi.org/10.11113/jurnalteknologi.v85.18744,Jurnal Teknologi,openaire,pertinente_no_seleccionada,False,116.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.066225,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.066; operational, empirical or validation evidence; publication_aware_selection","Due to the obvious advancement of artificial intelligence, keyword spotting has become a fast-growing technology that was first launched a few years ago by hidden Markov models. Keyword spotting is the technique of finding terms that have been pre-programmed into a machine learning model. However, because the keyword spotting system model will be installed on a small and resource-constrained device, it must be minimal in size. It is difficult to maintain accuracy and performance when minimizing the model size. We suggested in this paper to develop a TinyML model that responds to voice commands by detecting words that are utilized in a cascade architecture to start or control a program. The keyword detection machine learning model was built, trained, and tested using the edge impulse development platform. The technique follows the model-building workflow, which includes data collection, preprocessing, training, testing, and deployment. 'On,' 'Off,' noise, and unknown databases were obtained from the Google speech command database V1 and applied for training and testing. The MFCC was used to extract features and CNN was used to generate the model, which was then optimized and deployed on the microcontroller. The model's evaluation represents an accuracy of 84.51% based on the datasets. Finally, the KWS was successfully implemented and assessed on Arduino Nano 33 BLE Sense for two studies in terms of accuracy at three different times and by six different persons."
A46,RC3FFE69FC5C3,ForestGuard: A TinyML-Based Acoustic Surveillance System for Intelligent Forest Monitoring,Safa Sajith C S; Chinchu Paulose; Saraung Babu; Sradha TR; Deepak D Nair,2026,10.55041/ijsrem59575,https://doi.org/10.55041/ijsrem59575,INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,openaire,pertinente_no_seleccionada,False,115.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.044025,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.044; operational, empirical or validation evidence; publication_aware_selection","Abstract - Forests are increasingly threatened by illegal logging, wildlife poaching, forest fires, and unauthorized human intrusion. Conventional surveillance approaches such as manual patrolling, camera traps, and satellite monitoring are limited by high operational costs, restricted coverage, delayed response times, and dependency on visibility conditions. Acoustic monitoring presents a promising alternative, as many harmful forest activities produce distinctive sound signatures. This paper presents ForestGuard, a complete end-to-end TinyML-based acoustic surveillance system for intelligent forest monitoring. The proposed system employs an ESP32 microcontroller integrated with a digital I2S microphone to perform real-time on-device sound classification using a quantized deep learning model. The classifier detects chainsaw activity, gunshots, elephant vocalizations, lion/tiger vocalizations, fire crackling sounds, and human screams, along with an additional “unknown” class to handle environmental background noise. The deployed system achieved 85.2% validation accuracy and 70.53% real-world testing accuracy, with an AUC of 0.95, while maintaining a compact model size of approximately 69 KB suitable for embedded deployment. The architecture integrates a Spring Boot backend server and a React Native mobile application for real-time alert visualization and scalable multi-device monitoring. The results demonstrate the feasibility of scalable, low-cost, edge-based acoustic surveillance for forest protection and wildlife conservation Key Words: TinyML, Acoustic Surveillance, ESP32, Edge AI, Forest Monitoring, IoT"
A51,R65324E525BAD,Toward Real-Time Edge AI: Model-Agnostic Task-Oriented Communication With Visual Feature Alignment,Songjie Xie; Hengtao He; Shenghui Song; Jun Zhang; Khaled B. Letaief,2025,10.1109/jsac.2025.3623175,https://doi.org/10.1109/jsac.2025.3623175,IEEE Journal on Selected Areas in Communications,openaire,pertinente_no_seleccionada,False,115.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.041096,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.041; operational, empirical or validation evidence; publication_aware_selection","Task-oriented communication presents a promising approach to improve the communication efficiency of edge inference systems by optimizing learning-based modules to extract and transmit relevant task information. However, real-time applications face practical challenges, such as incomplete coverage and potential malfunctions of edge servers. This situation necessitates cross-model communication between different inference systems, enabling edge devices from one service provider to collaborate effectively with edge servers from another. Independent optimization of diverse edge systems often leads to incoherent feature spaces, which hinders the cross-model inference for existing task-oriented communication. To facilitate and achieve effective cross-model task-oriented communication, this study introduces a novel framework that utilizes shared anchor data across diverse systems. This approach addresses the challenge of feature alignment in both server-based and on-device scenarios. In particular, by leveraging the linear invariance of visual features, we propose efficient server-based feature alignment techniques to estimate linear transformations using encoded anchor data features. For on-device alignment, we exploit the angle-preserving nature of visual features and propose to encode relative representations with anchor data to streamline cross-model communication without additional alignment procedures during the inference. The experimental results on computer vision benchmarks demonstrate the superior performance of the proposed feature alignment approaches in cross-model task-oriented communications. The runtime and computation overhead analysis further confirm the effectiveness of the proposed feature alignment approaches in real-time applications."
A49,R114985E771D7,Robustifying the Deployment of tinyML Models for Autonomous Mini-Vehicles,Miguel de Prado; Manuele Rusci; Alessandro Capotondi; Romain Donze; Luca Benini; Nuria Pazos,2021,10.3390/s21041339,https://doi.org/10.3390/s21041339,Sensors,crossref,pertinente_no_seleccionada,False,115.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.045455,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.045; operational, empirical or validation evidence; publication_aware_selection","Standard-sized autonomous vehicles have rapidly improved thanks to the breakthroughs of deep learning. However, scaling autonomous driving to mini-vehicles poses several challenges due to their limited on-board storage and computing capabilities. Moreover, autonomous systems lack robustness when deployed in dynamic environments where the underlying distribution is different from the distribution learned during training. To address these challenges, we propose a closed-loop learning flow for autonomous driving mini-vehicles that includes the target deployment environment in-the-loop. We leverage a family of compact and high-throughput tinyCNNs to control the mini-vehicle that learn by imitating a computer vision algorithm, i.e., the expert, in the target environment. Thus, the tinyCNNs, having only access to an on-board fast-rate linear camera, gain robustness to lighting conditions and improve over time. Moreover, we introduce an online predictor that can choose between different tinyCNN models at runtime—trading accuracy and latency—which minimises the inference’s energy consumption by up to 3.2×. Finally, we leverage GAP8, a parallel ultra-low-power RISC-V-based micro-controller unit (MCU), to meet the real-time inference requirements. When running the family of tinyCNNs, our solution running on GAP8 outperforms any other implementation on the STM32L4 and NXP k64f (traditional single-core MCUs), reducing the latency by over 13× and the energy consumption by 92%."
A50,R60BEBCFB19E6,Intellino: Processor for Embedded Artificial Intelligence,Young Hyun Yoon; Dong Hyun Hwang; Jun Hyeok Yang; Seung Eun Lee,2020,10.3390/electronics9071169,https://doi.org/10.3390/electronics9071169,Electronics,openaire,pertinente_no_seleccionada,False,115.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.060606,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.061; operational, empirical or validation evidence; publication_aware_selection","The development of computation technology and artificial intelligence (AI) field brings about AI to be applied to various system. In addition, the research on hardware-based AI processors leads to the minimization of AI devices. By adapting the AI device to the edge of internet of things (IoT), the system can perform AI operation promptly on the edge and reduce the workload of the system core. As the edge is influenced by the characteristics of the embedded system, implementing hardware which operates with low power in restricted resources on a processor is necessary. In this paper, we propose the intellino, a processor for embedded artificial intelligence. Intellino ensures low power operation based on optimized AI algorithms and reduces the workload of the system core through the hardware implementation of a neural network. In addition, intellino’s dedicated protocol helps the embedded system to enhance the performance. We measure intellino performance, achieving over 95% accuracy, and verify our proposal with an field programmable gate array (FPGA) prototyping."
A156,R13C39B6E93BE,Evaluation of a Machine Learning Algorithm to Classify Ultrasonic Transducer Misalignment and Deployment Using TinyML,Des Brennan; Paul Galvin,2024,10.3390/s24020560,https://doi.org/10.3390/s24020560,Sensors,crossref,pertinente_no_seleccionada,False,106.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,,,1.0,False,False,True,0.044118,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: none; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.044; operational, empirical or validation evidence; publication_aware_selection","The challenge for ultrasonic (US) power transfer systems, in implanted/wearable medical devices, is to determine when misalignment occurs (e.g., due to body motion) and apply directional correction accordingly. In this study, a number of machine learning algorithms were evaluated to classify US transducer misalignment, based on data signal transmissions between the transmitter and receiver. Over seven hundred US signals were acquired across a range of transducer misalignments. Signal envelopes and spectrograms were used to train and evaluate machine learning (ML) algorithms, classifying misalignment extent. The algorithms included an autoencoder, convolutional neural network (CNN) and neural network (NN). The best performing algorithm, was deployed onto a TinyML device for evaluation. Such systems exploit low power microcontrollers developed specifically around edge device applications, where algorithms were configured to run on low power, restricted memory systems. TensorFlow Lite and Edge Impulse, were used to deploy trained models onto the edge device, to classify signals according to transducer misalignment extent. TinyML deployment, demonstrated near real-time ( 99%. This opens the possibility to apply such ML alignment algorithms to US arrays (capacitive micro-machined ultrasonic transducer (CMUT), piezoelectric micro-machined ultrasonic transducer (PMUT) devices) capable of beam-steering, significantly enhancing power delivery in implanted and body worn systems."
A80,RB9B1E341CE6C,The Case for Hierarchical Deep Learning Inference at the Network Edge,Ghina Al-Atat; Andrea Fresa; Adarsh Prasad Behera; Vishnu Narayanan Moothedath; James Gross; Jaya Prakash Champati,2023,10.1145/3597062.3597278,https://doi.org/10.1145/3597062.3597278,Proceedings of the 1st International Workshop on Networked AI Systems,openaire,pertinente_no_seleccionada,False,101.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: conference_paper.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,conference_paper,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,evaluation_and_tradeoffs,,1.0,False,False,True,0.056738,,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.057; operational, empirical or validation evidence; publication_aware_selection","Resource-constrained Edge Devices (EDs), e.g., IoT sensors and microcontroller units, are expected to make intelligent decisions using Deep Learning (DL) inference at the edge of the network. Toward this end, there is a significant research effort in developing tinyML models - Deep Learning (DL) models with reduced computation and memory storage requirements - that can be embedded on these devices. However, tinyML models have lower inference accuracy. On a different front, DNN partitioning and inference offloading techniques were studied for distributed DL inference between EDs and Edge Servers (ESs). In this paper, we explore Hierarchical Inference (HI), a novel approach proposed by Vishnu et al. 2023, arXiv:2304.00891v1 , for performing distributed DL inference at the edge. Under HI, for each data sample, an ED first uses a local algorithm (e.g., a tinyML model) for inference. Depending on the application, if the inference provided by the local algorithm is incorrect or further assistance is required from large DL models on edge or cloud, only then the ED offloads the data sample. At the outset, HI seems infeasible as the ED, in general, cannot know if the local inference is sufficient or not. Nevertheless, we present the feasibility of implementing HI for machine fault detection and image classification applications. We demonstrate its benefits using quantitative analysis and argue that using HI will result in low latency, bandwidth savings, and energy savings in edge AI systems."
A104,RE0669C00959F,"Benchmarking Hybrid On-Device and Cloud AI Inference for Android and Embedded Devices: Latency, Memory, Energy, Privacy, and Accuracy Trade-offs",Srikanth Puram,2025,10.63282/3050-9262.ijaidsml-v6i2p126,https://doi.org/10.63282/3050-9262.ijaidsml-v6i2p126,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",crossref,pertinente_no_seleccionada,False,87.0,media,fuera_del_cupo,"Relevant, but outside the limit of 30 synthesis sources. Publication priority: published_version_verified; document type: journal_article.","Pertinente, pero quedó fuera del límite configurado para la síntesis.","Cubre deployment_and_execution, edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs, optimization_and_codesign; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Candidato secundario para ampliar la cobertura temática o metodológica.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",,"evaluation_and_tradeoffs, optimization_and_codesign",,1.0,False,False,True,0.074074,cloud-only inference,admitted by contextual relevance,"required groups matched in title/abstract: deployment_and_execution, edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core, resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs, optimization_and_codesign; required coverage: 1.00; contribution co-occurrence: no (window=2); semantic similarity: 0.074; operational, empirical or validation evidence; exclusion terms: cloud-only inference; publication_aware_selection","Android phones, automotive displays, wearables, home devices, retail terminals, industrial gateways, and other embedded gadgets increasingly run artificial intelligence workloads that were previously hosted almost exclusively in the cloud. On-device inference improves privacy, offline behavior, and round-trip latency, but it is constrained by model size, memory, battery, thermal limits, accelerator availability, and fragmented hardware. Cloud inference supports larger models and centralized updates, but it introduces network latency, availability risk, data-transfer cost, privacy exposure, and service dependency. This paper proposes a benchmarking and decision framework for hybrid on-device and cloud AI inference on Android and embedded devices. The framework evaluates five deployment modes: fully on-device inference, cloud-only inference, local prefiltering with cloud escalation, confidence-based hybrid routing, and cloud fallback after local failure. It defines workload classes, device classes, network profiles, privacy levels, and metrics including p50/p95 latency, time-to-first-token, throughput, peak RAM, model size, energy per inference, quantization accuracy loss, network round-trip delay, and privacy exposure. The paper also presents a routing algorithm that selects the inference location based on latency budget, privacy class, model memory footprint, battery state, network quality, and confidence threshold. The proposed framework is aligned with the technology landscape available by April 2025, including LiteRT/TensorFlow Lite foundations, Android on-device AI APIs, Gemini Nano experimental access, Gemma 3 class open models, ONNX Runtime Mobile, and MLPerf-style inference benchmarking."
