evidence_id,canonical_record_id,title,authors,year,doi,url,journal_or_venue,retrieval_sources,classification,selected,score,priority,reason_category,screening_reason,why_not_selected,potential_contribution,recommended_action,possible_false_negative,publication_verified,publication_status,document_type,publication_verification_status,required_groups_matched,hard_required_groups,hard_required_in_contribution,missing_hard_required_groups,complementary_groups_matched,methodological_family,required_coverage,required_cooccurrence,direct_relation,operational_evidence,semantic_similarity,exclusion_terms,quota_decision,signals,abstract
A175,R712E9E633FDF,Service-Oriented AI Model Compression for Computing Continuum Environments,Adriano Puglisi; Flavia Monti; Christian Napoli; Massimo Mecella,2026,10.1007/978-981-95-5012-8_23,https://doi.org/10.1007/978-981-95-5012-8_23,Lecture Notes in Computer Science,openaire,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The study contributes transferable methodology from the qualified family 'model_compression_and_quantization'. Additional decision: excluded as redundant within methodological family model_compression_and_quantization.,No satisface en evidencia de contribución los grupos obligatorios: edge_ai_core.,"Cubre resource_constrained_platform; aporta evaluation_and_tradeoffs, optimization_and_codesign; representa la familia model_compression_and_quantization; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,book_chapter,published_version_verified,resource_constrained_platform,"edge_ai_core, resource_constrained_platform",resource_constrained_platform,edge_ai_core,"evaluation_and_tradeoffs, optimization_and_codesign",model_compression_and_quantization,0.3333,False,False,True,0.062016,,excluded as redundant within methodological family model_compression_and_quantization,"contextual_preselection:transferable_methodology; required groups matched in title/abstract: resource_constrained_platform; hard-required groups satisfied in contribution evidence: resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs, optimization_and_codesign; required coverage: 0.33; contribution co-occurrence: no (window=2); semantic similarity: 0.062; operational, empirical or validation evidence; qualified methodological family: model_compression_and_quantization","Modern neural networks often rely on over-parameterized architectures to ensure stability and accuracy, but in many real-world scenarios, such as the Internet of Things and edge devices, large models are difficult to deploy due to computational and memory limitations. Although compression techniques exist, they are rarely integrated into a service-oriented architecture that allows dynamically adapting AI models for heterogeneous devices. In this work, we propose a cloud continuum framework for AI model optimization as a service, where edge devices possibly send neural networks to the cloud, they are automatically compressed and returned in a lightweight version, ready for local execution. At the core of this process is ImproveNet, a method that structurally reduces the size of a neural network during training, without compromising its ability to solve the original task. Starting from a standard sized network, the system monitors performance during training and, once accuracy requirements are met, applies channel reduction and internal layer elimination, progressively simplifying the architecture. The resulting model is returned to the device, enabling AI-on-the-continuum deployment and execution."
A184,R028DC1BE18E9,Hardware-Aware INT8 Quantization and FPGA Deployment of MobileNetV2 for Real-Time Facial Landmark Detection,Van-Khoa Pham; Manh-Dung Do; Trung-Nghia Dang; Long Tran,2026,10.4108/airo.10070,https://doi.org/10.4108/airo.10070,EAI Endorsed Transactions on AI and Robotics,crossref,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: edge_ai_core.,"Cubre deployment_and_execution, resource_constrained_platform; aporta evaluation_and_tradeoffs, optimization_and_codesign; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, resource_constrained_platform","edge_ai_core, resource_constrained_platform",resource_constrained_platform,edge_ai_core,"evaluation_and_tradeoffs, optimization_and_codesign",,0.6667,False,False,True,0.086957,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: deployment_and_execution, resource_constrained_platform; hard-required groups satisfied in contribution evidence: resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs, optimization_and_codesign; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.087; operational, empirical or validation evidence","Facial landmark detection is a key component of always-on edge vision systems, but practical deployment requires balancing localization accuracy, model size, throughput, and power consumption. This study proposes a two-stage, hardware-aware framework for MobileNetV2-based facial landmark detection. In Stage I, a lightweight detector is developed in PyTorch and evaluated in FP32 and INT8 using post-training quantization (PTQ) and quantization-aware training (QAT). In Stage II, the quantized model is realized on the AMD/Xilinx Kria KV260 FPGA and assessed in terms of real-time throughput, power consumption, and hardware resource utilization. INT8 quantization reduces the model size from 6.59 MB to 1.65 MB, and QAT retains accuracy more effectively than PTQ (91.74% vs. 90.94%) relative to the FP32 baseline (92.42%). The hardware implementation achieves approximately 30 FPS at approximately 3 W while using 14.8% of LUTs, 8.1% of FFs, 16.3% of BRAM, and 4.5% of DSPs. Among the evaluated platforms, the KV260 delivers the highest measured energy efficiency, whereas the RTX 4060 delivers the highest throughput. Within the evaluated setup, these results support the practicality of explicitly separating software-stage quantization analysis from hardware-stage realization for real-time, low-power facial landmark detection on FPGA-based edge platforms."
A190,R84F65EC68E86,Visual Intelligence in Resource-Constrained Edge Devices: A Review of Raspberry Pi,Archana D.; Radhika V.,2026,10.38124/ijisrt/26mar114,https://doi.org/10.38124/ijisrt/26mar114,International Journal of Innovative Science and Research Technology,crossref,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: edge_ai_core.,"Cubre edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs, optimization_and_codesign; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",resource_constrained_platform,edge_ai_core,"evaluation_and_tradeoffs, optimization_and_codesign",,0.6667,False,False,True,0.076923,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs, optimization_and_codesign; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.077; operational, empirical or validation evidence","Developments in computer vision have provided a great deal of capability to smart systems to sense the world around them and be able to make autonomous decisions with a broad spectrum of uses. Nonetheless, executing the visionbased algorithms in resource-constrained edge devices is not easy since their capabilities are severely limited in terms of computational and memory resources, as well as energy supply. This review explores the computer vision algorithms that can be applied to low-cost and low-power embedded systems with a specific focus on the Raspberry Pi family. Methods of object detection and multi-object tracking (including classical vision algorithms, as well as deep learning models like YOLO, SSD, and MobileNet) are reviewed and compared with each other in terms of the indicators of the evaluation characteristics that are commonly reported (such as inference speed, latency, model size, number of parameters, and detection accuracy (mAP)) when available. Also, the techniques of optimisation like quantization, pruning, lightweight backbone design, and embedding edge AI accelerators (e.g., Google Coral TPU and Intel Neural Compute Stick 2) are discussed. This survey summarizes the results of benchmark data sets and real-world systems to highlight major trade-offs in embedded vision implementation and suggests real- world combinations of detectors and trackers to use in appli- cations of surveillance, mobile robots, and smart transportation"
A193,R43C7E487CD69,HAPQ: A Hardware-Aware Pruning and Quantization Pipeline for Event-Based SNN Detection,Zhengyinan Li; Jing Wu,2026,10.3390/s26092910,https://doi.org/10.3390/s26092910,Sensors,crossref,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: edge_ai_core.,"Cubre deployment_and_execution, resource_constrained_platform; aporta evaluation_and_tradeoffs, optimization_and_codesign; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, resource_constrained_platform","edge_ai_core, resource_constrained_platform",resource_constrained_platform,edge_ai_core,"evaluation_and_tradeoffs, optimization_and_codesign",,0.6667,False,False,True,0.036145,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: deployment_and_execution, resource_constrained_platform; hard-required groups satisfied in contribution evidence: resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs, optimization_and_codesign; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.036; operational, empirical or validation evidence","Autonomous driving perception demands low latency, high temporal resolution, and stringent hardware efficiency. While event-based spiking neural networks (SNNs) offer bio-inspired sparse computation, their deployment on edge field-programmable gate arrays (FPGAs) is obstructed by irregular execution patterns and temporal state storage overhead. To address this, we propose HAPQ, a unified hardware-aware pruning and quantization pipeline for compact event-based object detection. Starting from an end-to-end adaptive sampling SNN detector (EAS-SNN), HAPQ conducts hardware-aware configuration search within discrete digital signal processor (DSP) and block RAM (BRAM) budgets, applies single-instruction-multiple-data (SIMD)-aligned structured pruning for computational regularity, and jointly quantizes synaptic weights and membrane potentials via a shift-friendly fixed-point recurrence. Evaluation on the Prophesee Gen1 dataset and an FPGA accelerator shows that HAPQ improves detection accuracy from 0.284 to 0.425 in mean average precision (mAP50:95) and achieves 0.722 mAP50. Hardware implementation reveals a reduction in lookup table (LUT) usage to 1680, complete DSP elimination, and a maximum operating frequency of 920.81 MHz at 0.630 W. These results confirm that effective temporal SNN deployment requires joint optimization of model architecture, state precision, and hardware-aligned workload organization."
A194,R5E4081BB1812,Dynamic Pricing for On-Demand DNN Inference in the Edge-AI Market,Songyuan Li; Jia Hu; Geyong Min; Haojun Huang; Jiwei Huang,2026,10.1109/tmc.2025.3647531,https://doi.org/10.1109/tmc.2025.3647531,IEEE Transactions on Mobile Computing,arxiv,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: resource_constrained_platform.,"Cubre deployment_and_execution, edge_ai_core; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, edge_ai_core","edge_ai_core, resource_constrained_platform",edge_ai_core,resource_constrained_platform,evaluation_and_tradeoffs,,0.6667,False,False,True,0.050633,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: deployment_and_execution, edge_ai_core; hard-required groups satisfied in contribution evidence: edge_ai_core; complementary groups matched: evaluation_and_tradeoffs; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.051; operational, empirical or validation evidence","The convergence of edge computing and Artificial Intelligence (AI) gives rise to Edge-AI, which enables the deployment of real-time AI applications at the network edge. A key research challenge in Edge-AI is edge inference acceleration, which aims to realize low-latency high-accuracy Deep Neural Network (DNN) inference by offloading partitioned inference tasks from end devices to edge servers. However, existing research has yet to adopt a practical Edge-AI market perspective, which would explore the personalized inference needs of AI users (e.g., inference accuracy, latency, and task complexity), the revenue incentives for AI service providers that offer edge inference services, and multi-stakeholder governance within a market-oriented context. To bridge this gap, we propose an Auction-based Edge Inference Pricing Mechanism (AERIA) for revenue maximization to tackle the multi-dimensional optimization problem of DNN model partition, edge inference pricing, and resource allocation. We develop a multi-exit device-edge synergistic inference scheme for on-demand DNN inference acceleration, and theoretically analyze the auction dynamics amongst the AI service providers, AI users and edge infrastructure provider. Owing to the strategic mechanism design via randomized consensus estimate and cost sharing techniques, the Edge-AI market attains several desirable properties. These include competitiveness in revenue maximization, incentive compatibility, and envy-freeness, which are crucial to maintain the effectiveness, truthfulness, and fairness in auction outcomes. Extensive simulations based on four representative DNN inference workloads demonstrate that AERIA significantly outperforms several state-of-the-art approaches in revenue maximization. This validates the efficacy of AERIA for on-demand DNN inference in the Edge-AI market."
A195,RD7B245049FBC,Edge and Embedded AI for Secure IoT Systems,Babitha Hemanth; Anushka B. Shetty; Sandhya; C. K. Preran Prabhakar; Krishnadath,2026,10.4018/979-8-3373-8187-9.ch010,https://doi.org/10.4018/979-8-3373-8187-9.ch010,Advances in Computational Intelligence and Robotics,openaire,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: resource_constrained_platform.,"Cubre edge_ai_core, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,book_chapter,published_version_verified,"edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",edge_ai_core,resource_constrained_platform,evaluation_and_tradeoffs,,0.6667,False,False,True,0.070175,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core; complementary groups matched: evaluation_and_tradeoffs; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.070; operational, empirical or validation evidence","The rapid expansion of the Internet of Things has increased the demand for security mechanisms that are robust, scalable, and capable of real-time response. Traditional cloud-centric security approaches often suffer from latency, reliance on continuous connectivity, privacy concerns, and high energy consumption, making them unsuitable for resource-constrained IoT environments. Edge and embedded Artificial Intelligence address these challenges by enabling intelligent security functions closer to the data source. Deploying threat detection and response directly on edge nodes and IoT devices allows faster reaction to attacks, reduced data exposure, and continued operation during limited cloud access. This chapter examines the fundamentals of edge and embedded AI, the IoT threat landscape, AI-based security techniques for low-power devices, supporting hardware mechanisms such as secure boot and hardware trust and challenges including adversarial attacks, secure updates and emerging trends."
A196,RF968E699855D,SLIM: A Heterogeneous Accelerator for Edge Inference of Sparse Large Language Model via Adaptive Thresholding,Weihong Xu; Haein Choi; Po-Kai Hsu; Shimeng Yu; Tajana Simunic,2026,10.1145/3750727,https://doi.org/10.1145/3750727,ACM Transactions on Embedded Computing Systems,openaire,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: edge_ai_core.,"Cubre deployment_and_execution, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, resource_constrained_platform","edge_ai_core, resource_constrained_platform",resource_constrained_platform,edge_ai_core,evaluation_and_tradeoffs,,0.6667,False,False,True,0.055866,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: deployment_and_execution, resource_constrained_platform; hard-required groups satisfied in contribution evidence: resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.056; operational, empirical or validation evidence","Large language models (LLMs), composed of Transformer decoders, have demonstrated unparalleled proficiency in understanding and generating human language. However, efficient LLM inference on resource-constraint embedded devices remains a challenge because of the sheer model size and memory-intensive operations that arise from feedforward network (FFN) and multi-head attention (MHA) layers. Existing accelerations offload LLM inference to heterogeneous computing systems comprising expensive memory and processing units. However, recent studies show that most hardware resources are not used because LLM exhibits significant sparsity during inference. The sparsity of LLMs provides a good opportunity to perform memory-efficient inference. In this work, we propose SLIM, an algorithm and hardware co-design optimized for sparse LLM serving on the edge. SLIM exploits LLM’s sparsity by only fetching activated neurons to significantly reduce data movement. To this end, the efficient inference algorithm based on adaptive thresholding is proposed to support runtime configurable sparsity at the cost of negligible accuracy loss. Then, we present the SLIM heterogeneous hardware architecture that combines the best of both near-storage processing (NSP) and processing-in-memory (PIM). SLIM stores FFN weights in high-density 3D NAND and computes FFN layers in NSP units, alleviating high memory requirements caused by FFN weights. The memory-intensive MHA with low arithmetic density is processed in the PIM module. By leveraging the inherent sparsity observed in LLM operations and integrating NSP with PIM techniques within SSDs, SLIM significantly reduces memory footprint, data movement, and energy consumption. Meanwhile, we present the software support for integrating design into existing SSD system. Our comprehensive analysis and system-level optimization demonstrate the effectiveness of our sparsity-tailored accelerator, offering 13-18× throughput improvements over SSD-GPU system and 9-10× better energy efficiency over DRAM-GPU system while maintaining low latency."
A203,RAAFFC3A4AB8B,Resilient Edge-IVA: Perception-Aware Adaptive Control for Stable Real-Time Analytics on Resource-Constrained Devices,Hansol Jung; Byoungkug Kim,2026,10.3390/app16125984,https://doi.org/10.3390/app16125984,Applied Sciences,crossref,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: edge_ai_core.,"Cubre deployment_and_execution, resource_constrained_platform; aporta evaluation_and_tradeoffs; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, resource_constrained_platform","edge_ai_core, resource_constrained_platform",resource_constrained_platform,edge_ai_core,evaluation_and_tradeoffs,,0.6667,False,False,True,0.030151,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: deployment_and_execution, resource_constrained_platform; hard-required groups satisfied in contribution evidence: resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.030; operational, empirical or validation evidence","This paper presents Resilient Edge-IVA (Intelligent Video Analytics), an integrated framework designed to ensure real-time inference stability and high-speed embedding-based similarity search in resource-constrained edge computing environments. Conventional systems often face Quality of Experience (QoE) degradation caused by computational overhead and hardware-level bottlenecks. To address these challenges, this study proposes a “Whole-cycle” methodology employing a perception-driven, three-tier adaptive control algorithm. This algorithm dynamically modulates encoding parameters, such as resolution and bitrate, by utilizing real-time inference latency and CPU utilization as feedback signals. Furthermore, the framework incorporates an event-density-based Data Diet mechanism. This mechanism selectively adjusts video quality based on object detection results, preserving high-fidelity imagery for critical events while significantly reducing data volume during static intervals. The backend implements a hybrid storage architecture combining the Milvus vector database for CLIP-based high-dimensional visual embeddings with a PostgreSQL relational database for structured metadata. These systems are linked via a deterministic hash key to ensure data atomicity and facilitate high-speed, multi-dimensional embedding-based retrieval. Experimental evaluations conducted on a Raspberry Pi 5 and Hailo-8 NPU demonstrate that the proposed framework maintains a frame drop rate below 0.3% even under extreme workloads, providing a 13-fold improvement in operational stability over static configurations. The results also confirm a 54.2% reduction in total storage occupancy and a Hash Mapping Consistency (HMC) score of 0.89. These findings validate the framework’s effectiveness in reconciling real-time processing stability with storage efficiency. Building upon this baseline, future research will extend the framework to multi-class environments, targeting applications such as Intelligent Transport Systems (ITS)."
A204,RF8AE69B44649,TinyML pada ESP32-CAM untuk Deteksi Objek Real-Time: Sebuah Tinjauan Literatur Sistematis,Mohamad Ardi; Kandi Harianto,2026,10.71302/jamas.v6i1.102,https://doi.org/10.71302/jamas.v6i1.102,Journal of Applied Microcontroller and Autonomous System,crossref,excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: resource_constrained_platform.,"Cubre edge_ai_core, resource_constrained_platform; aporta optimization_and_codesign; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"edge_ai_core, resource_constrained_platform","edge_ai_core, resource_constrained_platform",edge_ai_core,resource_constrained_platform,optimization_and_codesign,,0.6667,False,False,True,0.0181,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: edge_ai_core, resource_constrained_platform; hard-required groups satisfied in contribution evidence: edge_ai_core; complementary groups matched: optimization_and_codesign; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.018; operational, empirical or validation evidence","Perkembangan kecerdasan buatan pada perangkat tepi (edge device) telah mendorong munculnya paradigma Tiny Machine Learning (TinyML) yang memungkinkan inferensi model pembelajaran mesin berjalan langsung pada mikrokontroler dengan sumber daya terbatas, tanpa bergantung pada komputasi awan. Meskipun sejumlah studi telah menerapkan TinyML pada modul ESP32-CAM secara terpisah, belum terdapat kajian yang merangkum secara sistematis arsitektur model, teknik optimasi, dan kinerja yang dilaporkan, sehingga gambaran komprehensif mengenai capaian dan keterbatasan pendekatan tersebut masih sulit diperoleh. Penelitian ini bertujuan untuk mengkaji secara sistematis penerapan TinyML pada modul ESP32-CAM untuk keperluan deteksi objek secara real-time, khususnya dalam hal arsitektur model, teknik optimasi, dan kinerja sistem yang dihasilkan. Metode yang digunakan adalah Systematic Literature Review (SLR) dengan tahapan perencanaan, pelaksanaan pencarian pada basis data ilmiah, serta penyaringan berdasarkan kriteria inklusi dan eksklusi. Sintesis dilakukan terhadap 20 artikel terpilih yang dipublikasikan antara tahun 2021 hingga 2026. Hasil kajian menunjukkan bahwa arsitektur Faster Objects, More Objects (FOMO) dan model terkuantisasi berbasis TensorFlow Lite for Microcontrollers (TFLM) menjadi pendekatan dominan karena mampu menekan ukuran model hingga di bawah 500 KB dengan tetap menjaga akurasi deteksi di atas 90% pada kondisi lingkungan terkendali. Teknik kuantisasi INT8 dan pemangkasan jaringan (pruning) terbukti efektif menurunkan kebutuhan RAM dan ROM masing-masing hingga lebih dari 25% tanpa penurunan akurasi yang signifikan. Kajian ini juga mengidentifikasi keterbatasan utama berupa sensitivitas terhadap kondisi pencahayaan dan latensi inferensi yang masih bervariasi antara 300 hingga 700 milidetik. FOMO dan kuantisasi INT8 terbukti menjadi pendekatan yang paling efektif untuk diterapkan pada ESP32-CAM, meskipun tantangan sensitivitas pencahayaan dan variasi latensi inferensi masih perlu diatasi pada penerapan lapangan. Penelitian ini diharapkan dapat menjadi rujukan bagi peneliti dan praktisi dalam merancang sistem deteksi objek berbasis TinyML yang efisien pada perangkat ESP32-CAM untuk aplikasi pemantauan, robotika, dan keamanan berbiaya rendah."
A207,R135782FE0560,Energy-Efficient AI Inference at the Edge: Optimizing Semiconductor Hardware for Small Language Models,Rohit Chandrakant Kulkarni,2026,10.63282/3050-9416.ijaibdcms-v7i1p132,https://doi.org/10.63282/3050-9416.ijaibdcms-v7i1p132,"International Journal of AI, BigData, Computational and Management Studies","crossref, openaire",excluida,False,0.0,baja,grupo_obligatorio_ausente,Contextual preselection: The record is topically related but does not satisfy every hard-required concept group in contribution evidence. Additional decision: admitted by contextual relevance.,No satisface en evidencia de contribución los grupos obligatorios: edge_ai_core.,"Cubre deployment_and_execution, resource_constrained_platform; aporta evaluation_and_tradeoffs, optimization_and_codesign; incluye evidencia operativa, empírica o de validación; dispone de publicación verificada.",Mantener excluido salvo que se amplíe deliberadamente el alcance del perfil.,False,True,published,journal_article,published_version_verified,"deployment_and_execution, resource_constrained_platform","edge_ai_core, resource_constrained_platform",resource_constrained_platform,edge_ai_core,"evaluation_and_tradeoffs, optimization_and_codesign",,0.6667,False,False,True,0.124088,,admitted by contextual relevance,"contextual_preselection:topic_related; required groups matched in title/abstract: deployment_and_execution, resource_constrained_platform; hard-required groups satisfied in contribution evidence: resource_constrained_platform; complementary groups matched: evaluation_and_tradeoffs, optimization_and_codesign; required coverage: 0.67; contribution co-occurrence: no (window=2); semantic similarity: 0.124; operational, empirical or validation evidence","The rapid expansion of artificial intelligence applications across mobile devices, Internet of Things (IoT) platforms, and embedded systems has intensified the demand for efficient on-device inference. While large language models have demonstrated remarkable performance in natural language processing tasks, their computational and energy requirements make them impractical for deployment in resource-constrained edge environments. Small Language Models (SLMs) have therefore emerged as a promising alternative for enabling localized intelligence while maintaining manageable computational footprints. However, achieving efficient inference for these models remains dependent on the capabilities of underlying semiconductor hardware and the effectiveness of hardware-aware optimization strategies. This study examines the design considerations necessary for enabling energy-efficient inference of small language models on edge computing platforms. The paper analyzes how semiconductor-level architectural features such as neural processing units, specialized tensor accelerators, and optimized memory hierarchies influence inference latency and energy consumption. In addition, the work investigates model optimization techniques including low-precision quantization, parameter pruning, and hardware-aware scheduling that allow language models to operate efficiently on embedded processors and dedicated AI accelerators. A system-level framework is proposed that integrates semiconductor hardware capabilities with model compression techniques to improve inference efficiency without significantly degrading predictive performance."
